ñºëO,ëSëÃ,,,ÉRÅ[Éh,ñ,âÒêî,äÑçá,èáà ,,âÒ,ÉXÉRÉA,R,,ã«,ïΩãœì_êî,âÒêî,çáåv
,,,,,,,,,,431,-12.0,1498,,,,,
,,,,,,,,,,432,+0.0,1500,,,,,
,,,,,,,,,,433,+43.3,1508,,,,,
,,,,,,,,,,434,+35.5,1507,,,,,
,,,,,,,,,,435,+0.0,1500,,,,,
,,,,,,,,,,436,+26.0,1505,,,,,
,,,,,,,,,,437,+20.7,1504,,,,,
,,,,,,,,,,438,+0.0,1501,,,,,
,,,,,,,,,,439,+11.0,1503,,,,,
,,,,,,,,,,440,-21.8,1497,,,,,
,,,,,,,,,,441,+0.0,1501,,,,,
,,,,,,,,,,442,+41.0,1508,,,,,
,,,,,,,,,,443,-4.5,1500,,,,,
,,,,,,,,,,444,+0.0,1501,,,,,
,,,,,,,,,,445,+25.0,1505,,,,,
,,,,,,,,,,446,-10.5,1499,,,,,
,,,,,,,,,,447,+0.0,1500,,,,,
,,,,,,,,,,448,-19.8,1497,,,,,
,,,,,,,,,,449,-29.8,1495,,,,,
,,,,,,,,,,450,+0.0,1500,,,,,
,,,,,,,,,,451,+37.6,1507,,,,,
,,,,,,,,,,452,+36.5,1507,,,,,
,,,,,,,,,,453,+0.0,1500,,,,,
,,,,,,,,,,454,+7.8,1501,,,,,
,,,,,,,,,,455,-29.4,1495,,,,,
,,,,,,,,,,456,+0.0,1500,,,,,
,,,,,,,,,,457,+68.1,1512,,,,,
,,,,,,,,,,458,+26.8,1505,,,,,
,,,,,,,,,,459,+0.0,1500,,,,,
,,,,,,,,,,460,-2.0,1499,,,,,
,,,,,,,,,,461,-18.4,1496,,,,,
,,,,,,,,,,462,+0.0,1499,,,,,
,,,,,,,,,,463,+5.2,1500,,,,,
,,,,,,,,,,464,-26.5,1495,,,,,
,,,,,,,,,,465,+0.0,1500,,,,,
,,,,,,,,,,466,+16.2,1503,,,,,
,,,,,,,,,,467,+11.3,1502,,,,,
,,,,,,,,,,468,+0.0,1500,,,,,
,,,,,,,,,,469,+24.2,1504,,,,,
,,,,,,,,,,470,+9.3,1502,,,,,
,,,,,,,,,,471,+0.0,1500,,,,,
,,,,,,,,,,472,+20.6,1504,,,,,
,,,,,,,,,,473,-25.1,1496,,,,,
,,,,,,,,,,474,+0.0,1500,,,,,
,,,,,,,,,,475,+7.3,1502,,,,,
,,,,,,,,,,476,+33.5,1507,,,,,
,,,,,,,,,,477,+0.0,1501,,,,,
,,,,,,,,,,478,+4.8,1502,,,,,
,,,,,,,,,,479,+37.5,1508,,,,,
,,,,,,,,,,480,+0.0,1501,,,,,
,,,,,,,,,,481,+4.1,1502,,,,,
,,,,,,,,,,482,+9.4,1503,,,,,
,,,,,,,,,,483,+0.0,1501,,,,,
,,,,,,,,,,484,-12.0,1499,,,,,
,,,,,,,,,,485,-0.5,1501,,,,,
,,,,,,,,,,486,+0.0,1502,,,,,
,,,,,,,,,,487,+12.5,1504,,,,,
,,,,,,,,,,488,+0.4,1502,,,,,
,,,,,,,,,,489,+0.0,1502,,,,,
,,,,,,,,,,490,-12.9,1500,,,,,
,,,,,,,,,,491,-18.1,1499,,,,,
,,,,,,,,,,492,+0.0,1503,,,,,
,,,,,,,,,,493,+15.6,1506,,,,,
,,,,,,,,,,494,-22.8,1499,,,,,
,,,,,,,,,,495,+0.0,1503,,,,,
,,,,,,,,,,496,+15.6,1507,,,,,
,,,,,,,,,,497,+2.8,1505,,,,,
,,,,,,,,,,498,+0.0,1505,,,,,
,,,,,,,,,,499,-36.0,1498,,,,,
,,,,,,,,,,500,+0.0,1505,,,,,
,,,,,,,,,,501,+0.0,1506,,,,,
,,,,,,,,,,502,-29.6,1501,,,,,
,,,,,,,,,,503,-78.7,1492,,,,,
,,,,,,,,,,504,+0.0,1507,,,,,
,,,,,,,,,,505,+6.8,1508,,,,,
,,,,,,,,,,506,+4.2,1508,,,,,
,,,,,,,,,,507,+0.0,1507,,,,,
,,,,,,,,,,508,-14.0,1505,,,,,
,,,,,,,,,,509,-26.5,1503,,,,,
,,,,,,,,,,510,+0.0,1508,,,,,
,,,,,,,,,,511,-10.0,1506,,,,,
,,,,,,,,,,512,+50.5,1517,,,,,
,,,,,,,,,,513,+0.0,1508,,,,,
,,,,,,,,,,514,+44.6,1517,,,,,
,,,,,,,,,,515,+15.1,1511,,,,,
,,,,,,,,,,516,+0.0,1509,,,,,
,,,,,,,,,,517,-4.7,1508,,,,,
,,,,,,,,,,518,+13.9,1511,,,,,
,,,,,,,,,,519,+0.0,1509,,,,,
,,,,,,,,,,520,+12.5,1511,,,,,
,,,,,,,,,,521,-1.7,1509,,,,,
,,,,,,,,,,522,+0.0,1509,,,,,
,,,,,,,,,,523,+14.4,1512,,,,,
,,,,,,,,,,524,+26.7,1514,,,,,
,,,,,,,,,,525,+0.0,1509,,,,,
,,,,,,,,,,526,-14.0,1507,,,,,
,,,,,,,,,,527,-74.3,1496,,,,,
,,,,,,,,,,528,+0.0,1510,,,,,
,,,,,,,,,,529,+7.1,1511,,,,,
,,,,,,,,,,530,-0.9,1510,,,,,
,,,,,,,,,,531,+0.0,1510,,,,,
,,,,,,,,,,532,+19.7,1514,,,,,
,,,,,,,,,,533,+3.8,1511,,,,,
,,,,,,,,,,534,+0.0,1511,,,,,
,,,,,,,,,,535,+23.8,1515,,,,,
,,,,,,,,,,536,+25.5,1516,,,,,
,,,,,,,,,,537,+0.0,1511,,,,,
,,,,,,,,,,538,+3.5,1511,,,,,
,,,,,,,,,,539,-6.0,1509,,,,,
,,,,,,,,,,540,+0.0,1510,,,,,
,,,,,,,,,,541,-4.8,1510,,,,,
,,,,,,,,,,542,+21.0,1514,,,,,
,,,,,,,,,,543,+0.0,1511,,,,,
,,,,,,,,,,544,+32.5,1517,,,,,
,,,,,,,,,,545,+11.9,1513,,,,,
,,,,,,,,,,546,+0.0,1511,,,,,
,,,,,,,,,,547,+17.1,1515,,,,,
,,,,,,,,,,548,+17.5,1515,,,,,
,,,,,,,,,,549,+0.0,1512,,,,,
,,,,,,,,,,550,+12.3,1514,,,,,
,,,,,,,,,,551,+23.1,1516,,,,,
,,,,,,,,,,552,+0.0,1512,,,,,
,,,,,,,,,,553,+24.3,1517,,,,,
,,,,,,,,,,554,+11.4,1515,,,,,
,,,,,,,,,,555,+0.0,1513,,,,,
,,,,,,,,,,556,-12.2,1511,,,,,
,,,,,,,,,,557,-7.3,1512,,,,,
,,,,,,,,,,558,+0.0,1513,,,,,
,,,,,,,,,,559,-2.0,1513,,,,,
,,,,,,,,,,560,+4.6,1514,,,,,
,,,,,,,,,,561,+0.0,1513,,,,,
,,,,,,,,,,562,-40.6,1506,,,,,
,,,,,,,,,,563,-76.5,1500,,,,,
,,,,,,,,,,564,+0.0,1513,,,,,
,,,,,,,,,,565,+21.7,1517,,,,,
,,,,,,,,,,566,+35.8,1520,,,,,
,,,,,,,,,,567,+0.0,1514,,,,,
,,,,,,,,,,568,+40.7,1521,,,,,
,,,,,,,,,,569,+2.2,1514,,,,,
,,,,,,,,,,570,+0.0,1514,,,,,
,,,,,,,,,,571,+8.0,1515,,,,,
,,,,,,,,,,572,+16.9,1517,,,,,
,,,,,,,,,,573,+0.0,1514,,,,,
,,,,,,,,,,574,+7.7,1516,,,,,
,,,,,,,,,,575,+37.4,1521,,,,,
,,,,,,,,,,576,+0.0,1514,,,,,
,,,,,,,,,,577,-69.0,1502,,,,,
,,,,,,,,,,578,-89.7,1499,,,,,
,,,,,,,,,,579,+0.0,1515,,,,,
,,,,,,,,,,580,-3.0,1514,,,,,
,,,,,,,,,,581,-31.2,1509,,,,,
,,,,,,,,,,582,+0.0,1515,,,,,
,,,,,,,,,,583,-2.6,1515,,,,,
,,,,,,,,,,584,-40.2,1508,,,,,
,,,,,,,,,,585,+0.0,1515,,,,,
,,,,,,,,,,586,+59.0,1526,,,,,
,,,,,,,,,,587,+21.0,1519,,,,,
,,,,,,,,,,588,+0.0,1515,,,,,
,,,,,,,,,,589,+0.0,1516,,,,,
,,,,,,,,,,590,+36.0,1522,,,,,
,,,,,,,,,,591,+0.0,1516,,,,,
,,,,,,,,,,592,-20.5,1512,,,,,
,,,,,,,,,,593,+9.4,1518,,,,,
,,,,,,,,,,594,+0.0,1516,,,,,
,,,,,,,,,,595,+14.5,1519,,,,,
,,,,,,,,,,596,+23.4,1520,,,,,
,,,,,,,,,,597,+0.0,1515,,,,,
,,,,,,,,,,598,+15.9,1518,,,,,
,,,,,,,,,,599,+39.4,1522,,,,,
,,,,,,,,,,600,+0.0,1515,,,,,
,,,,,,,,,,601,-3.4,1515,,,,,
,,,,,,,,,,602,-17.9,1512,,,,,
,,,,,,,,,,603,+0.0,1515,,,,,
,,,,,,,,,,604,+4.4,1516,,,,,
,,,,,,,,,,605,-1.4,1515,,,,,
,,,,,,,,,,606,+0.0,1515,,,,,
,,,,,,,,,,607,+39.5,1523,,,,,
,,,,,,,,,,608,+2.8,1516,,,,,
,,,,,,,,,,609,+0.0,1516,,,,,
,,,,,,,,,,610,+61.0,1527,,,,,
,,,,,,,,,,611,+13.5,1519,,,,,
,,,,,,,,,,612,+0.0,1516,,,,,
,,,,,,,,,,613,+11.7,1518,,,,,
,,,,,,,,,,614,-11.8,1514,,,,,
,,,,,,,,,,615,+0.0,1516,,,,,
,,,,,,,,,,616,+16.1,1519,,,,,
,,,,,,,,,,617,+15.1,1519,,,,,
,,,,,,,,,,618,+0.0,1516,,,,,
,,,,,,,,,,619,+57.5,1527,,,,,
,,,,,,,,,,620,+11.7,1519,,,,,
,,,,,,,,,,621,+0.0,1516,,,,,
,,,,,,,,,,622,-12.5,1514,,,,,
,,,,,,,,,,623,-56.4,1506,,,,,
,,,,,,,,,,624,+0.0,1517,,,,,
,,,,,,,,,,625,-42.0,1509,,,,,
,,,,,,,,,,626,-45.0,1508,,,,,
,,,,,,,,,,627,+0.0,1516,,,,,
,,,,,,,,,,628,+10.7,1519,,,,,
,,,,,,,,,,629,+6.7,1518,,,,,
,,,,,,,,,,630,+0.0,1517,,,,,
,,,,,,,,,,631,+31.1,1522,,,,,
,,,,,,,,,,632,+0.7,1517,,,,,
,,,,,,,,,,633,+0.0,1517,,,,,
,,,,,,,,,,634,+10.2,1519,,,,,
,,,,,,,,,,635,-10.1,1515,,,,,
,,,,,,,,,,636,+0.0,1517,,,,,
,,,,,,,,,,637,+8.3,1519,,,,,
,,,,,,,,,,638,+35.8,1524,,,,,
,,,,,,,,,,639,+0.0,1518,,,,,
,,,,,,,,,,640,-1.9,1518,,,,,
,,,,,,,,,,641,+3.8,1519,,,,,
,,,,,,,,,,642,+0.0,1519,,,,,
,,,,,,,,,,643,+0.5,1519,,,,,
,,,,,,,,,,644,+13.7,1521,,,,,
,,,,,,,,,,645,+0.0,1519,,,,,
,,,,,,,,,,646,+48.0,1528,,,,,
,,,,,,,,,,647,+41.0,1527,,,,,
,,,,,,,,,,648,+0.0,1520,,,,,
,,,,,,,,,,649,+22.8,1524,,,,,
,,,,,,,,,,650,+43.1,1528,,,,,
,,,,,,,,,,651,+0.0,1520,,,,,
,,,,,,,,,,652,+6.0,1521,,,,,
,,,,,,,,,,653,+0.0,1521,,,,,
,,,,,,,,,,654,+0.0,1521,,,,,
,,,,,,,,,,655,-17.0,1518,,,,,
,,,,,,,,,,656,+3.7,1521,,,,,
,,,,,,,,,,657,+0.0,1521,,,,,
,,,,,,,,,,658,-26.2,1516,,,,,
,,,,,,,,,,659,+36.5,1527,,,,,
,,,,,,,,,,660,+0.0,1520,,,,,
,,,,,,,,,,661,-18.9,1516,,,,,
,,,,,,,,,,662,-12.3,1518,,,,,
,,,,,,,,,,663,+0.0,1520,,,,,
,,,,,,,,,,664,+36.0,1526,,,,,
,,,,,,,,,,665,+15.5,1522,,,,,
,,,,,,,,,,666,+0.0,1519,,,,,
,,,,,,,,,,667,+36.7,1526,,,,,
,,,,,,,,,,668,-0.3,1519,,,,,
,,,,,,,,,,669,+0.0,1519,,,,,
,,,,,,,,,,670,+12.4,1522,,,,,
,,,,,,,,,,671,-4.2,1519,,,,,
,,,,,,,,,,672,+0.0,1520,,,,,
,,,,,,,,,,673,+14.0,1523,,,,,
,,,,,,,,,,674,+41.4,1528,,,,,
,,,,,,,,,,675,+0.0,1520,,,,,
,,,,,,,,,,676,+6.8,1522,,,,,
,,,,,,,,,,677,+34.5,1527,,,,,
,,,,,,,,,,678,+0.0,1521,,,,,
,,,,,,,,,,679,-7.6,1520,,,,,
,,,,,,,,,,680,-9.6,1520,,,,,
,,,,,,,,,,681,+0.0,1522,,,,,
,,,,,,,,,,682,+26.2,1526,,,,,
,,,,,,,,,,683,-2.2,1521,,,,,
,,,,,,,,,,684,+0.0,1521,,,,,
,,,,,,,,,,685,+13.7,1524,,,,,
,,,,,,,,,,686,-0.1,1522,,,,,
,,,,,,,,,,687,+0.0,1522,,,,,
,,,,,,,,,,688,+0.3,1522,,,,,
,,,,,,,,,,689,-16.6,1519,,,,,
,,,,,,,,,,690,+0.0,1523,,,,,
,,,,,,,,,,691,-5.4,1522,,,,,
,,,,,,,,,,692,-30.8,1517,,,,,
,,,,,,,,,,693,+0.0,1523,,,,,
,,,,,,,,,,694,-43.2,1515,,,,,
,,,,,,,,,,695,-63.7,1512,,,,,
,,,,,,,,,,696,+0.0,1523,,,,,
,,,,,,,,,,697,+18.2,1526,,,,,
,,,,,,,,,,698,-12.5,1521,,,,,
,,,,,,,,,,699,+0.0,1523,,,,,
,,,,,,,,,,700,+22.8,1528,,,,,
,,,,,,,,,,701,-17.2,1520,,,,,
,,,,,,,,,,702,+0.0,1524,,,,,
,,,,,,,,,,703,+8.1,1525,,,,,
,,,,,,,,,,704,+30.6,1529,,,,,
,,,,,,,,,,705,+0.0,1524,,,,,
,,,,,,,,,,706,+5.0,1525,,,,,
,,,,,,,,,,707,-23.8,1520,,,,,
,,,,,,,,,,708,+0.0,1524,,,,,
,,,,,,,,,,709,-39.0,1517,,,,,
,,,,,,,,,,710,-23.5,1520,,,,,
,,,,,,,,,,711,+0.0,1524,,,,,
,,,,,,,,,,712,+7.5,1525,,,,,
,,,,,,,,,,713,+50.5,1532,,,,,
,,,,,,,,,,714,+0.0,1523,,,,,
,,,,,,,,,,715,+17.8,1526,,,,,
,,,,,,,,,,716,-1.8,1522,,,,,
,,,,,,,,,,717,+0.0,1522,,,,,
,,,,,,,,,,718,+8.2,1524,,,,,
,,,,,,,,,,719,-13.6,1520,,,,,
,,,,,,,,,,720,+0.0,1523,,,,,
,,,,,,,,,,721,+13.0,1526,,,,,
,,,,,,,,,,722,+15.1,1526,,,,,
,,,,,,,,,,723,+0.0,1524,,,,,
,,,,,,,,,,724,-39.1,1516,,,,,
,,,,,,,,,,725,-51.3,1514,,,,,
,,,,,,,,,,726,+0.0,1522,,,,,
,,,,,,,,,,727,+36.9,1528,,,,,
,,,,,,,,,,728,+25.1,1526,,,,,
,,,,,,,,,,729,+0.0,1521,,,,,
,,,,,,,,,,730,+11.0,1522,,,,,
,,,,,,,,,,731,-0.5,1520,,,,,
,,,,,,,,,,732,+0.0,1520,,,,,
,,,,,,,,,,733,-37.0,1513,,,,,
,,,,,,,,,,734,-33.0,1514,,,,,
,,,,,,,,,,735,+0.0,1520,,,,,
,,,,,,,,,,736,+10.3,1521,,,,,
,,,,,,,,,,737,+10.0,1521,,,,,
,,,,,,,,,,738,+0.0,1519,,,,,
,,,,,,,,,,739,+10.1,1521,,,,,
,,,,,,,,,,740,+34.2,1526,,,,,
,,,,,,,,,,741,+0.0,1520,,,,,
,,,,,,,,,,742,+21.7,1524,,,,,
,,,,,,,,,,743,+46.2,1529,,,,,
,,,,,,,,,,744,+0.0,1520,,,,,
,,,,,,,,,,745,-40.4,1513,,,,,
,,,,,,,,,,746,+0.9,1520,,,,,
,,,,,,,,,,747,+0.0,1520,,,,,
,,,,,,,,,,748,+5.6,1521,,,,,
,,,,,,,,,,749,+17.0,1523,,,,,
,,,,,,,,,,750,+0.0,1519,,,,,
,,,,,,,,,,751,-49.0,1510,,,,,
,,,,,,,,,,752,-32.5,1513,,,,,
,,,,,,,,,,753,+0.0,1519,,,,,
,,,,,,,,,,754,+52.1,1528,,,,,
,,,,,,,,,,755,+36.7,1526,,,,,
,,,,,,,,,,756,+0.0,1519,,,,,
,,,,,,,,,,757,+4.5,1520,,,,,
,,,,,,,,,,758,+47.0,1528,,,,,
,,,,,,,,,,759,+0.0,1520,,,,,
,,,,,,,,,,760,-15.0,1517,,,,,
,,,,,,,,,,761,-58.2,1509,,,,,
,,,,,,,,,,762,+0.0,1520,,,,,
,,,,,,,,,,763,+7.8,1521,,,,,
,,,,,,,,,,764,+16.8,1523,,,,,
,,,,,,,,,,765,+0.0,1520,,,,,
,,,,,,,,,,766,+18.6,1523,,,,,
,,,,,,,,,,767,+16.6,1523,,,,,
,,,,,,,,,,768,+0.0,1520,,,,,
,,,,,,,,,,769,+6.2,1521,,,,,
,,,,,,,,,,770,+10.7,1522,,,,,
,,,,,,,,,,771,+0.0,1520,,,,,
,,,,,,,,,,772,+12.6,1523,,,,,
,,,,,,,,,,773,+13.4,1523,,,,,
,,,,,,,,,,774,+0.0,1521,,,,,
,,,,,,,,,,775,+4.0,1521,,,,,
,,,,,,,,,,776,-33.3,1515,,,,,
,,,,,,,,,,777,+0.0,1520,,,,,
,,,,,,,,,,778,+35.0,1526,,,,,
,,,,,,,,,,779,-0.5,1520,,,,,
,,,,,,,,,,780,+0.0,1520,,,,,
,,,,,,,,,,781,+13.4,1522,,,,,
,,,,,,,,,,782,+22.4,1524,,,,,
,,,,,,,,,,783,+0.0,1520,,,,,
,,,,,,,,,,784,+6.1,1521,,,,,
,,,,,,,,,,785,+0.8,1520,,,,,
,,,,,,,,,,786,+0.0,1520,,,,,
,,,,,,,,,,787,+66.7,1533,,,,,
,,,,,,,,,,788,+7.8,1522,,,,,
,,,,,,,,,,789,+0.0,1521,,,,,
,,,,,,,,,,790,-38.1,1514,,,,,
,,,,,,,,,,791,+2.6,1522,,,,,
,,,,,,,,,,792,+0.0,1521,,,,,
,,,,,,,,,,793,+23.0,1526,,,,,
,,,,,,,,,,794,+14.5,1524,,,,,
,,,,,,,,,,795,+0.0,1522,,,,,
,,,,,,,,,,796,+9.5,1524,,,,,
,,,,,,,,,,797,-1.8,1522,,,,,
,,,,,,,,,,798,+0.0,1522,,,,,
,,,,,,,,,,799,+5.0,1523,,,,,
,,,,,,,,,,800,+5.7,1524,,,,,
,,,,,,,,,,801,+0.0,1523,,,,,
,,,,,,,,,,802,+7.8,1524,,,,,
,,,,,,,,,,803,-31.7,1517,,,,,
,,,,,,,,,,804,+0.0,1523,,,,,
,,,,,,,,,,805,+42.3,1531,,,,,
,,,,,,,,,,806,-3.0,1523,,,,,
,,,,,,,,,,807,+0.0,1523,,,,,
,,,,,,,,,,808,+40.7,1531,,,,,
,,,,,,,,,,809,+13.0,1526,,,,,
,,,,,,,,,,810,+0.0,1524,,,,,
,,,,,,,,,,811,+0.1,1524,,,,,
,,,,,,,,,,812,+8.6,1526,,,,,
,,,,,,,,,,813,+0.0,1524,,,,,
,,,,,,,,,,814,+12.2,1526,,,,,
,,,,,,,,,,815,+16.9,1527,,,,,
,,,,,,,,,,816,+0.0,1524,,,,,
,,,,,,,,,,817,+9.5,1526,,,,,
,,,,,,,,,,818,-1.1,1524,,,,,
,,,,,,,,,,819,+0.0,1524,,,,,
,,,,,,,,,,820,+27.2,1529,,,,,
,,,,,,,,,,821,+33.0,1530,,,,,
,,,,,,,,,,822,+0.0,1524,,,,,
,,,,,,,,,,823,-12.6,1522,,,,,
,,,,,,,,,,824,+7.5,1526,,,,,
,,,,,,,,,,825,+0.0,1524,,,,,
,,,,,,,,,,826,+7.5,1526,,,,,
,,,,,,,,,,827,-17.6,1521,,,,,
,,,,,,,,,,828,+0.0,1524,,,,,
,,,,,,,,,,829,-17.6,1521,,,,,
,,,,,,,,,,830,+8.0,1525,,,,,
,,,,,,,,,,831,+0.0,1524,,,,,
,,,,,,,,,,832,+7.8,1525,,,,,
,,,,,,,,,,833,-6.6,1523,,,,,
,,,,,,,,,,834,+0.0,1524,,,,,
,,,,,,,,,,835,+46.9,1532,,,,,
,,,,,,,,,,836,+7.0,1525,,,,,
,,,,,,,,,,837,+0.0,1524,,,,,
,,,,,,,,,,838,+6.3,1526,,,,,
,,,,,,,,,,839,+6.0,1526,,,,,
,,,,,,,,,,840,+0.0,1525,,,,,
,,,,,,,,,,841,+24.3,1529,,,,,
,,,,,,,,,,842,-9.7,1523,,,,,
,,,,,,,,,,843,+0.0,1525,,,,,
,,,,,,,,,,844,-10.4,1523,,,,,
,,,,,,,,,,845,-21.9,1522,,,,,
,,,,,,,,,,846,+0.0,1526,,,,,
,,,,,,,,,,847,-17.2,1523,,,,,
,,,,,,,,,,848,-26.5,1521,,,,,
,,,,,,,,,,849,+0.0,1525,,,,,
,,,,,,,,,,850,-1.0,1525,,,,,
,,,,,,,,,,851,-18.0,1522,,,,,
,,,,,,,,,,852,+0.0,1526,,,,,
,,,,,,,,,,853,+19.8,1529,,,,,
,,,,,,,,,,854,+41.5,1533,,,,,
,,,,,,,,,,855,+0.0,1526,,,,,
,,,,,,,,,,856,+27.7,1531,,,,,
,,,,,,,,,,857,+25.9,1531,,,,,
,,,,,,,,,,858,+0.0,1526,,,,,
,,,,,,,,,,859,+7.5,1528,,,,,
,,,,,,,,,,860,+45.5,1535,,,,,
,,,,,,,,,,861,+0.0,1527,,,,,
,,,,,,,,,,862,+31.5,1532,,,,,
,,,,,,,,,,863,+25.9,1532,,,,,
,,,,,,,,,,864,+0.0,1527,,,,,
,,,,,,,,,,865,+46.8,1535,,,,,
,,,,,,,,,,866,+26.3,1531,,,,,
,,,,,,,,,,867,+0.0,1526,,,,,
,,,,,,,,,,868,+52.5,1536,,,,,
,,,,,,,,,,869,+7.5,1527,,,,,
,,,,,,,,,,870,+0.0,1526,,,,,
,,,,,,,,,,871,-6.2,1525,,,,,
,,,,,,,,,,872,-44.7,1518,,,,,
,,,,,,,,,,873,+0.0,1526,,,,,
,,,,,,,,,,874,-8.8,1525,,,,,
,,,,,,,,,,875,-44.2,1519,,,,,
,,,,,,,,,,876,+0.0,1527,,,,,
,,,,,,,,,,877,+18.5,1530,,,,,
,,,,,,,,,,878,+12.0,1529,,,,,
,,,,,,,,,,879,+0.0,1527,,,,,
,,,,,,,,,,880,+33.1,1533,,,,,
,,,,,,,,,,881,+24.6,1531,,,,,
,,,,,,,,,,882,+0.0,1527,,,,,
,,,,,,,,,,883,+68.0,1539,,,,,
,,,,,,,,,,884,+20.0,1531,,,,,
,,,,,,,,,,885,+0.0,1527,,,,,
,,,,,,,,,,886,-21.9,1523,,,,,
,,,,,,,,,,887,-7.4,1526,,,,,
,,,,,,,,,,888,+0.0,1528,,,,,
,,,,,,,,,,889,+9.0,1529,,,,,
,,,,,,,,,,890,-17.2,1525,,,,,
,,,,,,,,,,891,+0.0,1528,,,,,
,,,,,,,,,,892,+18.7,1531,,,,,
,,,,,,,,,,893,+14.9,1530,,,,,
,,,,,,,,,,894,+0.0,1527,,,,,
,,,,,,,,,,895,+26.6,1532,,,,,
,,,,,,,,,,896,+7.7,1529,,,,,
,,,,,,,,,,897,+0.0,1528,,,,,
,,,,,,,,,,898,+20.0,1531,,,,,
,,,,,,,,,,899,+1.4,1528,,,,,
,,,,,,,,,,900,+0.0,1528,,,,,
,,,,,,,,,,901,-45.4,1520,,,,,
,,,,,,,,,,902,-5.9,1528,,,,,
,,,,,,,,,,903,+0.0,1529,,,,,
,,,,,,,,,,904,-5.1,1528,,,,,
,,,,,,,,,,905,+40.4,1536,,,,,
,,,,,,,,,,906,+0.0,1529,,,,,
,,,,,,,,,,907,+2.2,1529,,,,,
,,,,,,,,,,908,-37.0,1522,,,,,
,,,,,,,,,,909,+0.0,1529,,,,,
,,,,,,,,,,910,+73.3,1543,,,,,
,,,,,,,,,,911,+19.7,1533,,,,,
,,,,,,,,,,912,+0.0,1530,,,,,
,,,,,,,,,,913,+40.1,1537,,,,,
,,,,,,,,,,914,-11.1,1528,,,,,
,,,,,,,,,,915,+0.0,1531,,,,,
,,,,,,,,,,916,-42.1,1523,,,,,
,,,,,,,,,,917,+18.8,1533,,,,,
,,,,,,,,,,918,+0.0,1529,,,,,
,,,,,,,,,,919,+90.9,1546,,,,,
,,,,,,,,,,920,+8.3,1531,,,,,
,,,,,,,,,,921,+0.0,1530,,,,,
,,,,,,,,,,922,+31.0,1536,,,,,
,,,,,,,,,,923,+0.8,1531,,,,,
,,,,,,,,,,924,+0.0,1531,,,,,
,,,,,,,,,,925,+23.7,1536,,,,,
,,,,,,,,,,926,+26.3,1536,,,,,
,,,,,,,,,,927,+0.0,1532,,,,,
,,,,,,,,,,928,-31.3,1526,,,,,
,,,,,,,,,,929,+1.9,1531,,,,,
,,,,,,,,,,930,+0.0,1531,,,,,
,,,,,,,,,,931,-58.3,1520,,,,,
,,,,,,,,,,932,-9.5,1528,,,,,
,,,,,,,,,,933,+0.0,1529,,,,,
,,,,,,,,,,934,+29.1,1535,,,,,
,,,,,,,,,,935,+4.3,1531,,,,,
,,,,,,,,,,936,+0.0,1530,,,,,
,,,,,,,,,,937,-7.3,1529,,,,,
,,,,,,,,,,938,-37.2,1524,,,,,
,,,,,,,,,,939,+0.0,1531,,,,,
,,,,,,,,,,940,-31.7,1525,,,,,
,,,,,,,,,,941,-33.1,1525,,,,,
,,,,,,,,,,942,+0.0,1531,,,,,
,,,,,,,,,,943,-39.7,1523,,,,,
,,,,,,,,,,944,+5.5,1531,,,,,
,,,,,,,,,,945,+0.0,1530,,,,,
,,,,,,,,,,946,+87.1,1545,,,,,
,,,,,,,,,,947,+60.4,1541,,,,,
,,,,,,,,,,948,+0.0,1530,,,,,
,,,,,,,,,,949,-48.0,1521,,,,,
,,,,,,,,,,950,-49.6,1520,,,,,
,,,,,,,,,,951,+0.0,1529,,,,,
,,,,,,,,,,952,+38.4,1536,,,,,
,,,,,,,,,,953,+4.1,1530,,,,,
,,,,,,,,,,954,+0.0,1530,,,,,
,,,,,,,,,,955,+27.8,1534,,,,,
,,,,,,,,,,956,+25.1,1533,,,,,
,,,,,,,,,,957,+0.0,1528,,,,,
,,,,,,,,,,958,+47.2,1536,,,,,
,,,,,,,,,,959,-3.5,1527,,,,,
,,,,,,,,,,960,+0.0,1528,,,,,
,,,,,,,,,,961,-28.5,1523,,,,,
,,,,,,,,,,962,-31.9,1521,,,,,
,,,,,,,,,,963,+0.0,1527,,,,,
,,,,,,,,,,964,+28.9,1531,,,,,
,,,,,,,,,,965,+3.5,1526,,,,,
,,,,,,,,,,966,+0.0,1525,,,,,
,,,,,,,,,,967,-15.3,1522,,,,,
,,,,,,,,,,968,+41.0,1532,,,,,
,,,,,,,,,,969,+0.0,1524,,,,,
,,,,,,,,,,970,-15.8,1520,,,,,
,,,,,,,,,,971,+57.8,1533,,,,,
,,,,,,,,,,972,+0.0,1522,,,,,
,,,,,,,,,,973,+54.6,1532,,,,,
,,,,,,,,,,974,+14.6,1525,,,,,
,,,,,,,,,,975,+0.0,1523,,,,,
,,,,,,,,,,976,-43.7,1515,,,,,
,,,,,,,,,,977,+6.3,1523,,,,,
,,,,,,,,,,978,+0.0,1522,,,,,
,,,,,,,,,,979,-32.5,1516,,,,,
,,,,,,,,,,980,-37.1,1515,,,,,
,,,,,,,,,,981,+0.0,1522,,,,,
,,,,,,,,,,982,+8.0,1523,,,,,
,,,,,,,,,,983,-29.3,1517,,,,,
,,,,,,,,,,984,+0.0,1522,,,,,
,,,,,,,,,,985,-7.0,1521,,,,,
,,,,,,,,,,986,-38.5,1514,,,,,
