名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,477,+4687.1,1882,,,,,
,,,,,,,,,,478,+4651.3,1874,,,,,
,,,,,,,,,,479,+4677.3,1877,,,,,
,,,,,,,,,,480,+4738.5,1886,,,,,
,,,,,,,,,,481,+4736.8,1884,,,,,
,,,,,,,,,,482,+4722.4,1880,,,,,
,,,,,,,,,,483,+4750.2,1883,,,,,
,,,,,,,,,,484,+4785.0,1887,,,,,
,,,,,,,,,,485,+4817.8,1891,,,,,
,,,,,,,,,,486,+4795.1,1885,,,,,
,,,,,,,,,,487,+4822.1,1889,,,,,
,,,,,,,,,,488,+4821.8,1887,,,,,
,,,,,,,,,,489,+4843.3,1889,,,,,
,,,,,,,,,,490,+4877.0,1893,,,,,
,,,,,,,,,,491,+4906.4,1896,,,,,
,,,,,,,,,,492,+4960.6,1904,,,,,
,,,,,,,,,,493,+4996.0,1909,,,,,
,,,,,,,,,,494,+4989.3,1905,,,,,
,,,,,,,,,,495,+5020.1,1909,,,,,
,,,,,,,,,,496,+5002.4,1904,,,,,
,,,,,,,,,,497,+5008.3,1903,,,,,
,,,,,,,,,,498,+5051.2,1909,,,,,
,,,,,,,,,,499,+4993.2,1897,,,,,
,,,,,,,,,,500,+4966.8,1891,,,,,
,,,,,,,,,,501,+4931.9,1882,,,,,
,,,,,,,,,,502,+4966.2,1887,,,,,
,,,,,,,,,,503,+4999.3,1891,,,,,
,,,,,,,,,,504,+5012.7,1892,,,,,
,,,,,,,,,,505,+5018.0,1891,,,,,
,,,,,,,,,,506,+4977.7,1882,,,,,
,,,,,,,,,,507,+4956.4,1877,,,,,
,,,,,,,,,,508,+4986.3,1880,,,,,
,,,,,,,,,,509,+4986.1,1879,,,,,
,,,,,,,,,,510,+5011.4,1881,,,,,
,,,,,,,,,,511,+4994.8,1877,,,,,
,,,,,,,,,,512,+4949.0,1867,,,,,
,,,,,,,,,,513,+4962.0,1867,,,,,
,,,,,,,,,,514,+4997.4,1872,,,,,
,,,,,,,,,,515,+5002.3,1871,,,,,
,,,,,,,,,,516,+5035.7,1875,,,,,
,,,,,,,,,,517,+5036.8,1874,,,,,
,,,,,,,,,,518,+5056.2,1876,,,,,
,,,,,,,,,,519,+5061.7,1875,,,,,
,,,,,,,,,,520,+5061.3,1873,,,,,
,,,,,,,,,,521,+5062.6,1872,,,,,
,,,,,,,,,,522,+5102.7,1877,,,,,
,,,,,,,,,,523,+5056.9,1867,,,,,
,,,,,,,,,,524,+5061.5,1867,,,,,
,,,,,,,,,,525,+5064.3,1866,,,,,
,,,,,,,,,,526,+5111.2,1873,,,,,
,,,,,,,,,,527,+5137.7,1876,,,,,
,,,,,,,,,,528,+5171.8,1880,,,,,
,,,,,,,,,,529,+5176.4,1879,,,,,
,,,,,,,,,,530,+5203.5,1882,,,,,
,,,,,,,,,,531,+5221.5,1884,,,,,
,,,,,,,,,,532,+5227.6,1883,,,,,
,,,,,,,,,,533,+5230.0,1882,,,,,
,,,,,,,,,,534,+5234.5,1881,,,,,
,,,,,,,,,,535,+5208.5,1875,,,,,
,,,,,,,,,,536,+5181.5,1868,,,,,
,,,,,,,,,,537,+5164.7,1864,,,,,
,,,,,,,,,,538,+5168.8,1863,,,,,
,,,,,,,,,,539,+5137.5,1856,,,,,
,,,,,,,,,,540,+5155.8,1858,,,,,
,,,,,,,,,,541,+5175.0,1860,,,,,
,,,,,,,,,,542,+5175.6,1858,,,,,
,,,,,,,,,,543,+5140.4,1850,,,,,
,,,,,,,,,,544,+5181.0,1856,,,,,
,,,,,,,,,,545,+5213.4,1860,,,,,
,,,,,,,,,,546,+5181.7,1853,,,,,
,,,,,,,,,,547,+5139.0,1844,,,,,
,,,,,,,,,,548,+5163.1,1847,,,,,
,,,,,,,,,,549,+5187.9,1850,,,,,
,,,,,,,,,,550,+5213.4,1853,,,,,
,,,,,,,,,,551,+5238.2,1856,,,,,
,,,,,,,,,,552,+5213.2,1850,,,,,
,,,,,,,,,,553,+5183.7,1843,,,,,
,,,,,,,,,,554,+5216.2,1847,,,,,
,,,,,,,,,,555,+5193.8,1842,,,,,
,,,,,,,,,,556,+5209.0,1843,,,,,
,,,,,,,,,,557,+5158.5,1832,,,,,
,,,,,,,,,,558,+5185.3,1836,,,,,
,,,,,,,,,,559,+5183.5,1834,,,,,
,,,,,,,,,,560,+5203.4,1836,,,,,
,,,,,,,,,,561,+5166.7,1828,,,,,
,,,,,,,,,,562,+5187.3,1830,,,,,
,,,,,,,,,,563,+5191.3,1829,,,,,
,,,,,,,,,,564,+5207.8,1831,,,,,
,,,,,,,,,,565,+5168.8,1822,,,,,
,,,,,,,,,,566,+5123.2,1813,,,,,
,,,,,,,,,,567,+5157.3,1818,,,,,
,,,,,,,,,,568,+5185.0,1821,,,,,
,,,,,,,,,,569,+5220.9,1827,,,,,
,,,,,,,,,,570,+5242.6,1829,,,,,
,,,,,,,,,,571,+5262.1,1831,,,,,
,,,,,,,,,,572,+5275.7,1832,,,,,
,,,,,,,,,,573,+5317.6,1838,,,,,
,,,,,,,,,,574,+5301.1,1834,,,,,
,,,,,,,,,,575,+5350.1,1841,,,,,
,,,,,,,,,,576,+5394.5,1848,,,,,
,,,,,,,,,,577,+5354.3,1839,,,,,
,,,,,,,,,,578,+5404.3,1847,,,,,
,,,,,,,,,,579,+5528.4,1868,,,,,
,,,,,,,,,,580,+5535.4,1868,,,,,
,,,,,,,,,,581,+5521.3,1863,,,,,
,,,,,,,,,,582,+5591.9,1874,,,,,
,,,,,,,,,,583,+5560.9,1867,,,,,
,,,,,,,,,,584,+5537.3,1862,,,,,
,,,,,,,,,,585,+5540.5,1861,,,,,
,,,,,,,,,,586,+5552.0,1861,,,,,
,,,,,,,,,,587,+5622.6,1872,,,,,
,,,,,,,,,,588,+5628.4,1871,,,,,
,,,,,,,,,,589,+5675.3,1878,,,,,
,,,,,,,,,,590,+5682.7,1878,,,,,
,,,,,,,,,,591,+5684.1,1876,,,,,
,,,,,,,,,,592,+5680.2,1874,,,,,
,,,,,,,,,,593,+5697.0,1875,,,,,
,,,,,,,,,,594,+5704.7,1875,,,,,
,,,,,,,,,,595,+5663.9,1867,,,,,
,,,,,,,,,,596,+5707.6,1873,,,,,
,,,,,,,,,,597,+5708.7,1871,,,,,
,,,,,,,,,,598,+5747.1,1876,,,,,
,,,,,,,,,,599,+5714.3,1869,,,,,
,,,,,,,,,,600,+5740.6,1872,,,,,
,,,,,,,,,,601,+5762.1,1874,,,,,
,,,,,,,,,,602,+5753.4,1871,,,,,
,,,,,,,,,,603,+5730.8,1865,,,,,
,,,,,,,,,,604,+5735.5,1865,,,,,
,,,,,,,,,,605,+5757.7,1867,,,,,
,,,,,,,,,,606,+5709.2,1857,,,,,
,,,,,,,,,,607,+5775.4,1868,,,,,
,,,,,,,,,,608,+5829.6,1876,,,,,
,,,,,,,,,,609,+5845.3,1877,,,,,
,,,,,,,,,,610,+5803.6,1868,,,,,
,,,,,,,,,,611,+5791.0,1865,,,,,
,,,,,,,,,,612,+5766.7,1859,,,,,
,,,,,,,,,,613,+5748.0,1854,,,,,
,,,,,,,,,,614,+5811.6,1863,,,,,
,,,,,,,,,,615,+5855.2,1870,,,,,
,,,,,,,,,,616,+5882.6,1873,,,,,
,,,,,,,,,,617,+5899.7,1874,,,,,
,,,,,,,,,,618,+5879.7,1869,,,,,
,,,,,,,,,,619,+5834.2,1860,,,,,
,,,,,,,,,,620,+5808.0,1854,,,,,
,,,,,,,,,,621,+5811.9,1853,,,,,
,,,,,,,,,,622,+5809.1,1851,,,,,
,,,,,,,,,,623,+5778.2,1844,,,,,
,,,,,,,,,,624,+5781.9,1843,,,,,
,,,,,,,,,,625,+5796.5,1844,,,,,
,,,,,,,,,,626,+5807.9,1844,,,,,
,,,,,,,,,,627,+5850.4,1850,,,,,
,,,,,,,,,,628,+5884.9,1855,,,,,
,,,,,,,,,,629,+5887.3,1854,,,,,
,,,,,,,,,,630,+5860.6,1848,,,,,
,,,,,,,,,,631,+5850.7,1845,,,,,
,,,,,,,,,,632,+5900.8,1852,,,,,
,,,,,,,,,,633,+5924.3,1855,,,,,
,,,,,,,,,,634,+5945.9,1857,,,,,
,,,,,,,,,,635,+5982.8,1862,,,,,
,,,,,,,,,,636,+5981.3,1861,,,,,
,,,,,,,,,,637,+6012.3,1865,,,,,
,,,,,,,,,,638,+6058.8,1872,,,,,
,,,,,,,,,,639,+6062.0,1871,,,,,
,,,,,,,,,,640,+6039.1,1865,,,,,
,,,,,,,,,,641,+6069.3,1869,,,,,
,,,,,,,,,,642,+6091.4,1872,,,,,
,,,,,,,,,,643,+6045.2,1863,,,,,
,,,,,,,,,,644,+6071.5,1866,,,,,
,,,,,,,,,,645,+6111.3,1872,,,,,
,,,,,,,,,,646,+6109.4,1870,,,,,
,,,,,,,,,,647,+6170.2,1879,,,,,
,,,,,,,,,,648,+6172.2,1878,,,,,
,,,,,,,,,,649,+6140.0,1870,,,,,
,,,,,,,,,,650,+6185.2,1877,,,,,
,,,,,,,,,,651,+6172.7,1873,,,,,
,,,,,,,,,,652,+6201.5,1877,,,,,
,,,,,,,,,,653,+6174.1,1871,,,,,
,,,,,,,,,,654,+6163.1,1867,,,,,
,,,,,,,,,,655,+6191.0,1870,,,,,
,,,,,,,,,,656,+6190.2,1869,,,,,
,,,,,,,,,,657,+6189.9,1867,,,,,
,,,,,,,,,,658,+6237.4,1875,,,,,
,,,,,,,,,,659,+6215.4,1869,,,,,
,,,,,,,,,,660,+6190.9,1864,,,,,
,,,,,,,,,,661,+6231.7,1869,,,,,
,,,,,,,,,,662,+6272.9,1875,,,,,
,,,,,,,,,,663,+6265.2,1872,,,,,
,,,,,,,,,,664,+6296.9,1876,,,,,
,,,,,,,,,,665,+6329.1,1880,,,,,
,,,,,,,,,,666,+6326.2,1878,,,,,
,,,,,,,,,,667,+6358.2,1883,,,,,
,,,,,,,,,,668,+6399.7,1889,,,,,
,,,,,,,,,,669,+6436.3,1894,,,,,
,,,,,,,,,,670,+6468.2,1898,,,,,
,,,,,,,,,,671,+6509.7,1905,,,,,
,,,,,,,,,,672,+6471.0,1896,,,,,
,,,,,,,,,,673,+6425.5,1886,,,,,
,,,,,,,,,,674,+6441.7,1887,,,,,
,,,,,,,,,,675,+6443.0,1886,,,,,
,,,,,,,,,,676,+6467.1,1888,,,,,
,,,,,,,,,,677,+6449.7,1884,,,,,
,,,,,,,,,,678,+6490.4,1890,,,,,
,,,,,,,,,,679,+6504.4,1890,,,,,
,,,,,,,,,,680,+6571.3,1900,,,,,
,,,,,,,,,,681,+6574.5,1899,,,,,
,,,,,,,,,,682,+6574.2,1897,,,,,
,,,,,,,,,,683,+6614.1,1903,,,,,
,,,,,,,,,,684,+6611.9,1901,,,,,
,,,,,,,,,,685,+6560.8,1891,,,,,
,,,,,,,,,,686,+6586.1,1893,,,,,
,,,,,,,,,,687,+6607.8,1896,,,,,
,,,,,,,,,,688,+6652.3,1902,,,,,
,,,,,,,,,,689,+6689.8,1907,,,,,
,,,,,,,,,,690,+6668.0,1901,,,,,
,,,,,,,,,,691,+6654.9,1897,,,,,
,,,,,,,,,,692,+6650.1,1894,,,,,
,,,,,,,,,,693,+6600.7,1884,,,,,
,,,,,,,,,,694,+6567.1,1877,,,,,
,,,,,,,,,,695,+6594.0,1881,,,,,
,,,,,,,,,,696,+6606.0,1881,,,,,
,,,,,,,,,,697,+6602.3,1879,,,,,
,,,,,,,,,,698,+6592.8,1876,,,,,
,,,,,,,,,,699,+6647.0,1884,,,,,
,,,,,,,,,,700,+6672.6,1887,,,,,
,,,,,,,,,,701,+6679.0,1886,,,,,
,,,,,,,,,,702,+6668.4,1882,,,,,
,,,,,,,,,,703,+6638.3,1875,,,,,
,,,,,,,,,,704,+6644.3,1875,,,,,
,,,,,,,,,,705,+6595.8,1864,,,,,
,,,,,,,,,,706,+6581.4,1860,,,,,
,,,,,,,,,,707,+6604.4,1863,,,,,
,,,,,,,,,,708,+6632.0,1866,,,,,
,,,,,,,,,,709,+6680.4,1873,,,,,
,,,,,,,,,,710,+6718.9,1878,,,,,
,,,,,,,,,,711,+6758.1,1883,,,,,
,,,,,,,,,,712,+6818.5,1892,,,,,
,,,,,,,,,,713,+6817.0,1890,,,,,
,,,,,,,,,,714,+6820.4,1889,,,,,
,,,,,,,,,,715,+6862.0,1895,,,,,
,,,,,,,,,,716,+6883.4,1897,,,,,
,,,,,,,,,,717,+6887.4,1896,,,,,
,,,,,,,,,,718,+6851.5,1889,,,,,
,,,,,,,,,,719,+6870.2,1891,,,,,
,,,,,,,,,,720,+6947.9,1903,,,,,
,,,,,,,,,,721,+6961.6,1904,,,,,
,,,,,,,,,,722,+6916.9,1894,,,,,
,,,,,,,,,,723,+6915.9,1892,,,,,
,,,,,,,,,,724,+6968.1,1900,,,,,
,,,,,,,,,,725,+6932.4,1893,,,,,
,,,,,,,,,,726,+6992.7,1902,,,,,
,,,,,,,,,,727,+6961.7,1895,,,,,
,,,,,,,,,,728,+6998.9,1901,,,,,
,,,,,,,,,,729,+7000.4,1900,,,,,
,,,,,,,,,,730,+7006.1,1899,,,,,
,,,,,,,,,,731,+7005.2,1897,,,,,
,,,,,,,,,,732,+7063.0,1905,,,,,
,,,,,,,,,,733,+7115.8,1913,,,,,
,,,,,,,,,,734,+7188.8,1924,,,,,
,,,,,,,,,,735,+7184.5,1921,,,,,
,,,,,,,,,,736,+7244.2,1931,,,,,
,,,,,,,,,,737,+7249.2,1930,,,,,
,,,,,,,,,,738,+7280.8,1934,,,,,
,,,,,,,,,,739,+7342.4,1944,,,,,
,,,,,,,,,,740,+7319.9,1938,,,,,
,,,,,,,,,,741,+7325.4,1937,,,,,
,,,,,,,,,,742,+7301.9,1931,,,,,
,,,,,,,,,,743,+7296.5,1928,,,,,
,,,,,,,,,,744,+7310.3,1929,,,,,
,,,,,,,,,,745,+7245.3,1916,,,,,
,,,,,,,,,,746,+7283.3,1921,,,,,
,,,,,,,,,,747,+7242.5,1913,,,,,
,,,,,,,,,,748,+7216.7,1906,,,,,
,,,,,,,,,,749,+7219.9,1905,,,,,
,,,,,,,,,,750,+7245.4,1908,,,,,
,,,,,,,,,,751,+7241.0,1906,,,,,
,,,,,,,,,,752,+7249.6,1906,,,,,
,,,,,,,,,,753,+7294.4,1912,,,,,
,,,,,,,,,,754,+7290.5,1909,,,,,
,,,,,,,,,,755,+7335.8,1916,,,,,
,,,,,,,,,,756,+7406.8,1927,,,,,
,,,,,,,,,,757,+7429.1,1929,,,,,
,,,,,,,,,,758,+7378.7,1918,,,,,
,,,,,,,,,,759,+7408.1,1922,,,,,
,,,,,,,,,,760,+7408.8,1920,,,,,
,,,,,,,,,,761,+7358.2,1910,,,,,
,,,,,,,,,,762,+7363.1,1909,,,,,
,,,,,,,,,,763,+7324.1,1901,,,,,
,,,,,,,,,,764,+7317.8,1898,,,,,
,,,,,,,,,,765,+7346.3,1902,,,,,
,,,,,,,,,,766,+7364.9,1904,,,,,
,,,,,,,,,,767,+7363.5,1902,,,,,
,,,,,,,,,,768,+7355.6,1899,,,,,
,,,,,,,,,,769,+7352.2,1897,,,,,
,,,,,,,,,,770,+7348.1,1895,,,,,
,,,,,,,,,,771,+7300.1,1885,,,,,
,,,,,,,,,,772,+7253.8,1875,,,,,
,,,,,,,,,,773,+7230.2,1870,,,,,
,,,,,,,,,,774,+7231.4,1868,,,,,
,,,,,,,,,,775,+7267.4,1873,,,,,
,,,,,,,,,,776,+7287.8,1875,,,,,
,,,,,,,,,,777,+7305.3,1876,,,,,
,,,,,,,,,,778,+7338.5,1881,,,,,
,,,,,,,,,,779,+7350.4,1882,,,,,
,,,,,,,,,,780,+7316.1,1875,,,,,
,,,,,,,,,,781,+7335.5,1877,,,,,
,,,,,,,,,,782,+7396.0,1886,,,,,
,,,,,,,,,,783,+7377.8,1881,,,,,
,,,,,,,,,,784,+7396.9,1883,,,,,
,,,,,,,,,,785,+7426.4,1887,,,,,
,,,,,,,,,,786,+7460.5,1891,,,,,
,,,,,,,,,,787,+7476.3,1892,,,,,
,,,,,,,,,,788,+7448.1,1886,,,,,
,,,,,,,,,,789,+7464.4,1887,,,,,
,,,,,,,,,,790,+7431.1,1880,,,,,
,,,,,,,,,,791,+7408.0,1874,,,,,
,,,,,,,,,,792,+7438.6,1878,,,,,
,,,,,,,,,,793,+7435.1,1876,,,,,
,,,,,,,,,,794,+7437.0,1875,,,,,
,,,,,,,,,,795,+7404.8,1868,,,,,
,,,,,,,,,,796,+7441.4,1873,,,,,
,,,,,,,,,,797,+7474.4,1878,,,,,
,,,,,,,,,,798,+7510.1,1883,,,,,
,,,,,,,,,,799,+7561.2,1890,,,,,
,,,,,,,,,,800,+7506.7,1879,,,,,
,,,,,,,,,,801,+7500.8,1876,,,,,
,,,,,,,,,,802,+7461.9,1867,,,,,
,,,,,,,,,,803,+7480.6,1869,,,,,
,,,,,,,,,,804,+7489.0,1869,,,,,
,,,,,,,,,,805,+7467.8,1864,,,,,
,,,,,,,,,,806,+7439.3,1857,,,,,
,,,,,,,,,,807,+7454.8,1858,,,,,
,,,,,,,,,,808,+7427.1,1852,,,,,
,,,,,,,,,,809,+7399.5,1845,,,,,
,,,,,,,,,,810,+7397.8,1844,,,,,
,,,,,,,,,,811,+7397.9,1842,,,,,
,,,,,,,,,,812,+7418.8,1844,,,,,
,,,,,,,,,,813,+7460.4,1850,,,,,
,,,,,,,,,,814,+7438.4,1845,,,,,
,,,,,,,,,,815,+7472.4,1850,,,,,
,,,,,,,,,,816,+7521.4,1857,,,,,
,,,,,,,,,,817,+7509.8,1854,,,,,
,,,,,,,,,,818,+7501.6,1851,,,,,
,,,,,,,,,,819,+7538.5,1856,,,,,
,,,,,,,,,,820,+7525.7,1852,,,,,
,,,,,,,,,,821,+7532.3,1852,,,,,
,,,,,,,,,,822,+7610.3,1865,,,,,
,,,,,,,,,,823,+7636.9,1868,,,,,
,,,,,,,,,,824,+7633.9,1866,,,,,
,,,,,,,,,,825,+7619.9,1862,,,,,
,,,,,,,,,,826,+7588.8,1855,,,,,
,,,,,,,,,,827,+7562.1,1848,,,,,
,,,,,,,,,,828,+7562.2,1847,,,,,
,,,,,,,,,,829,+7586.8,1850,,,,,
,,,,,,,,,,830,+7572.5,1846,,,,,
,,,,,,,,,,831,+7552.4,1841,,,,,
,,,,,,,,,,832,+7528.9,1835,,,,,
,,,,,,,,,,833,+7504.2,1829,,,,,
,,,,,,,,,,834,+7517.3,1831,,,,,
,,,,,,,,,,835,+7509.1,1828,,,,,
,,,,,,,,,,836,+7555.6,1835,,,,,
,,,,,,,,,,837,+7614.1,1844,,,,,
,,,,,,,,,,838,+7598.5,1840,,,,,
,,,,,,,,,,839,+7581.8,1836,,,,,
,,,,,,,,,,840,+7577.2,1834,,,,,
,,,,,,,,,,841,+7609.1,1838,,,,,
,,,,,,,,,,842,+7611.2,1838,,,,,
,,,,,,,,,,843,+7561.5,1828,,,,,
,,,,,,,,,,844,+7560.5,1826,,,,,
,,,,,,,,,,845,+7600.1,1832,,,,,
,,,,,,,,,,846,+7594.7,1830,,,,,
,,,,,,,,,,847,+7597.4,1829,,,,,
,,,,,,,,,,848,+7560.5,1821,,,,,
,,,,,,,,,,849,+7514.8,1812,,,,,
,,,,,,,,,,850,+7487.2,1806,,,,,
,,,,,,,,,,851,+7465.5,1801,,,,,
,,,,,,,,,,852,+7485.8,1803,,,,,
,,,,,,,,,,853,+7464.8,1798,,,,,
,,,,,,,,,,854,+7468.9,1798,,,,,
,,,,,,,,,,855,+7515.9,1806,,,,,
,,,,,,,,,,856,+7549.9,1810,,,,,
,,,,,,,,,,857,+7522.6,1804,,,,,
,,,,,,,,,,858,+7535.9,1806,,,,,
,,,,,,,,,,859,+7551.5,1807,,,,,
,,,,,,,,,,860,+7504.0,1798,,,,,
,,,,,,,,,,861,+7479.1,1792,,,,,
,,,,,,,,,,862,+7466.3,1789,,,,,
,,,,,,,,,,863,+7420.5,1780,,,,,
,,,,,,,,,,864,+7451.5,1784,,,,,
,,,,,,,,,,865,+7429.8,1779,,,,,
,,,,,,,,,,866,+7389.1,1771,,,,,
,,,,,,,,,,867,+7363.4,1765,,,,,
,,,,,,,,,,868,+7323.6,1757,,,,,
,,,,,,,,,,869,+7325.2,1756,,,,,
,,,,,,,,,,870,+7361.4,1762,,,,,
,,,,,,,,,,871,+7362.0,1761,,,,,
,,,,,,,,,,872,+7397.5,1767,,,,,
,,,,,,,,,,873,+7379.8,1763,,,,,
,,,,,,,,,,874,+7357.1,1758,,,,,
,,,,,,,,,,875,+7379.3,1761,,,,,
,,,,,,,,,,876,+7326.4,1751,,,,,
,,,,,,,,,,877,+7300.4,1746,,,,,
,,,,,,,,,,878,+7304.6,1746,,,,,
,,,,,,,,,,879,+7344.5,1752,,,,,
,,,,,,,,,,880,+7359.9,1754,,,,,
,,,,,,,,,,881,+7377.7,1757,,,,,
,,,,,,,,,,882,+7366.2,1754,,,,,
,,,,,,,,,,883,+7416.6,1763,,,,,
,,,,,,,,,,884,+7409.7,1760,,,,,
,,,,,,,,,,885,+7390.4,1756,,,,,
,,,,,,,,,,886,+7426.7,1762,,,,,
,,,,,,,,,,887,+7448.7,1765,,,,,
,,,,,,,,,,888,+7461.0,1766,,,,,
,,,,,,,,,,889,+7524.0,1776,,,,,
,,,,,,,,,,890,+7507.3,1772,,,,,
,,,,,,,,,,891,+7447.9,1760,,,,,
